URL;Date;Type d'URL;Type d'acteur(s);Thème dans la controverse;Position vis-à-vis du thème ;Poids dans la controverse;Lu en détail?
https://unfe.org/system/unfe-67-UNFE_Intersex_Final_FRENCH.pdf;2016;Note d'information;UN Free & Equal / Nations Unies ;Prise de conscience concernant les intersexuées + leurs attentes;Du côté des intersexuées;****;Oui
https://en.wikipedia.org/wiki/List_of_intersex_people;2017 (dernières modifications);Wikipédia;Personnalités;Personnes influentes intersexe;Aucun;;Non
https://en.wikipedia.org/wiki/Intersex_people_and_religion;2017 (dernières modifications);Wikipédia;Religion;Religion;Aucun;;Non
https://en.wikipedia.org/wiki/Sex_verification_in_sports;;Wikipédia;Sportifs;Sport;Aucun;;Oui
https://en.wikipedia.org/wiki/Television_works_about_intersex;;;;;;;
https://en.wikipedia.org/wiki/Films_about_intersex;;;;;;;
http://www.huffingtonpost.fr/2017/05/03/ce-que-cela-signifie-detre-une-personne-intersexe_a_22065079/;2017;Média;Presse Journalistes;Etat civil;Du côté des intersexuées;****;Oui
http://www.huffingtonpost.fr/2017/01/24/fiere-intersexe-hanne-gaby-odiele/ http://tetu.com/2017/01/25/hanne-gaby-odiele-je-suis-intersexe/;2017;Média;Presse Journalistes;Personnalités/Témoignages;Intersexuée;****;Oui
https://www.facebook.com/notes/chrysalide-asso/communiqu%C3%A9-de-la-f%C3%A9d%C3%A9ration-trans-et-intersexes-%C3%A0-ladresse-de-linter-lgbt/1904546393162356/;2017;Communiqué de Presse / Facebook;Association;Pathologisation des intersexuées;Intersexuée et militants;****;Oui
https://ciaintersexes.wordpress.com/2017/03/25/communique-de-la-reunion-inter-associative-du-samedi-18-mars-2017/;2017;Blog;Association;Création d'un collectif/Plus de poids+visibilité pour les intersexes;Intersexuée;****;Oui
http://www.trans-inter-action.org/;2015;Site;Association;Fenêtre sur le sujet intersexe;Intersexuée et militants;*;Oui
https://www.facebook.com/rita.grenoble/;;Facebook;Association;Fenêtre sur le sujet intersexe;Intersexuée et militants;*;Oui
https://www.facebook.com/asso.t.time/;;Facebook;Association;Fenêtre sur le sujet intersexe;Intersexuée et militants;*;Oui
http://asso.orfeo.free.fr/association/index.html;;Blog;Association;Fenêtre sur le sujet intersexe;Intersexuée et militants;*;Oui
http://intervisibility.eu/fr/;;Site / Campagne;Organisation;Fenêtre sur le sujet intersexe;Intersexuée et militants;***;Oui
https://oiieurope.org/map-situation-intersex-people-world-4th-international-intersex-forum/;2012;Site / cartes situation intersexuée dans le monde;Organsation-cadre des associations intersexe;Fenêtre sur le sujet intersexe;Intersexuée et militants;****;Oui
https://www.amnesty.org/en/latest/campaigns/2017/05/intersex-rights/;;Site / campagne;ONG Amnesty international;Fenêtre sur le sujet intersexe;Du côté des intersexuées;****;Oui
https://www.dropbox.com/s/8gm6hyoykubmwnq/Liste%20des%20Asso%20Trans-Intersexe%20en%20France%20-%20Nov%202016.pdf?dl=0;2016;Dropbox;Association;Liste des associations trans intersexes;Du côté des intersexuées;**;
http://www.lematin.ch/sante-environnement/sante/intersexes-operes-naissance/story/22489502;2013;Média;Presse Journalistes;Opérations chirurgicales;Du côté des intersexuées;**;Oui
http://www.cairn.info/resume.php?ID_ARTICLE=NQF_271_0037;2008;Cairn / revue SHS;Revue SHS;La personne intersexuée;Intersexuée;****;Non
http://www.lemonde.fr/week-end/article/2011/04/22/fille-ou-garcon-non-intersexue_1511136_1477893.html;2011;Média;Presse Journalistes;Opérations chirurgicales;Témoignages de médecins du côté des intersexuées;****;Oui
http://www.ilga-europe.org/;1996;Site / campagne;Organisatio internationale;Fenêtre sur le sujet intersexe + fédérateur pour les militants;Du côté des intersexuées;****;Oui/Non
http://yagg.com/2016/03/25/de-lurgence-dune-inversion-de-la-question-intersexe-en-france-ou-le-cadavre-exquis-de-madame-rossignol-par-vincent-guillot/;2016;Média;Presse Journalistes;Politique vs intersexuées;Intersexuée;****;Non
http://yagg.com/2014/12/16/enfants-trans-et-intersexes-un-groupe-vulnerable-que-le-conseil-de-leurope-veut-mieux-proteger/;2014;Média;Presse Journalistes;Rapport par le conseil de l'Europe/sécurité des enfants intersexes;Du côté des intersexuées;****;Oui/Non
http://oiifrancophonie.org/wp-content/uploads/2014/09/parisberlin.pdf;2014;Média;Presse magazine;Désaccord sur le cadre légal entre intersexuées + opérations chirurgicales;Intersexuée;****;Oui
http://oiifrancophonie.org/nos-realites/temoignages-2/;;Site / Campagne;Organisation Internationale;Fenêtre sur le sujet intersexe;Intersexuées;****;Oui
http://www.dailymotion.com/video/xrhehw_11-table-ronde-sexe-genre-et-identite-vincent-guillot_school;2012;Vidéo;Intersexuée et co-fondateur de l'OII;Colloque international sur le sexe;Intersexuée;****;Oui/Non
http://www.lemonde.fr/societe/article/2017/03/22/le-troisieme-sexe-devant-la-cour-de-cassation_5098649_3224.html#0AldHWK9DdcUXak0.99;2017;Média;Presse Journalistes;Etat civil;Du côté des intersexuées;****;Oui
http://next.liberation.fr/sexe/2017/03/17/hollande-prone-l-interdiction-des-chirurgies-sur-les-enfants-intersexes_1556444;2017;Média;Presse Journalistes;Politique avec les  intersexuées;Du côté des intersexuées;****;Oui
