"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ABCD2345","webpage","","Center for History and New Media","Guide rapide pour débuter","","","","","http://zotero.org/support/quick_start_guide","","","2017-05-08 13:10:03","2017-05-08 13:10:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4P24BP24","blogPost","","","Sujets 2017 – ETIC | Enjeux des TIC","","","","","https://controverses.telecom-paristech.fr/sujets-2017/","","","2017-05-08 13:14:17","2017-05-08 13:14:17","2017-05-08 13:14:17","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\Q3H9KIAU\sujets-2017.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFG7APEV","webpage","","","Genres Pluriels - Revendications intersexes","","","","","https://www.genrespluriels.be/Revendications-Intersexes","","","2017-05-08 16:11:15","2017-05-08 16:11:15","2017-05-08 16:11:15","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\VWUF8BPG\Revendications-Intersexes.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNVS2VTG","blogPost","","","LIBRES & ÉGAUX: VISIBILITÉ INTERSEXE |","","","","","https://www.unfe.org/intersex-awareness/fr/","Les enfants intersexes sont parfaits tels qu’ils sont.","","2017-05-08 16:12:51","2017-05-08 16:12:51","2017-05-08 16:12:51","","","","","","","LIBRES & ÉGAUX","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\4EIRFFGE\fr.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I5QVMA99","webpage","","","European Intersex Visibility Works! - Home","Intervisibility","","","","http://intervisibility.eu/","Welcome to the increasingly visible world of intersex people in Europe! We are glad you found us! If you are  [Continue Reading]","","2017-05-08 16:43:19","2017-05-08 16:43:19","2017-05-08 16:43:19","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\6S2MDR9V\intervisibility.eu.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4I3KFSNM","webpage","2013","","Conclusion du 3ème Forum International Intersexe de l’ILGA : Manifeste du 3e Forum International Intersexe du 1er décembre 2013","OII Francophonie","","","","http://oiifrancophonie.org/318/conclusion-du-3eme-forum-international-intersexe-de-lilga-manifeste-du-troisieme-forum-international-intersexe-du-1er-decembre-2013/","Nous, 34 militants, représentant 30 organisations intersexes de tous les continents, à La Vallette, Malte, entre le 29 novembre et le 1er décembre 2013 pendant le troisième forum international Inte…","2013-12-02","2017-05-08 16:50:50","2017-05-08 16:50:50","2017-05-08 16:50:50","","","","","","","Conclusion du 3ème Forum International Intersexe de l’ILGA","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\4BK7NFDE\conclusion-du-3eme-forum-international-intersexe-de-lilga-manifeste-du-troisieme-forum-internat.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BI4JWKHF","webpage","2013","","Message aux personnes qui désirent faire des recherches sur nous","OII Francophonie","","","","http://oiifrancophonie.org/nos-reflexions-sur-lintersexualite/message-aux-personnes-qui-desirent-faire-des-recherches-sur-nous/","Conseils à l’endroit des personnes non-intersexes écrivant au sujet de l’intersexualité et des personnes intersexes par Emi Koyama, Intersex InitiativeInspiré du texte: Suggested Rules for Non-Tran…","2013-01-18","2017-05-08 17:04:06","2017-05-08 17:04:06","2017-05-08 17:04:06","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\UK6C34D4\message-aux-personnes-qui-desirent-faire-des-recherches-sur-nous.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4G87H74S","blogPost","","","Organisation Internationale des IntersexuéEs - France","","","","","http://oii-france.blogspot.com/","","","2017-05-08 17:15:02","2017-05-08 17:15:02","2017-05-08 17:15:02","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\GXKF2V7D\oii-france.blogspot.fr.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6UB4SZTE","webpage","","","Foro gratis : Café Intersexe","intersexe.exprimetoi.net","","","","http://intersexe.exprimetoi.net/","Foro gratis : pour la vie. Café Intersexe. Intersexe intersexuation intersexualité intersex hermaphrodite","","2017-05-08 17:16:11","2017-05-08 17:16:11","2017-05-08 17:16:11","","","","","","","Foro gratis","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\JBXSTEBT\intersexe.exprimetoi.net.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIXVQKKG","blogPost","","","Tony Briffa, première personne intersexe à avoir été élue maire: «Je suis à la fois un homme et une femme» [Times Of Malta]","","","","","http://yagg.com/?post_type=post&p=86699","Tony Briffa commente la loi actuellement discutée au Parlement maltais qui permettrait de mieux protéger les personnes trans' et intersexes.","","2017-05-08 17:26:05","2017-05-08 17:26:05","2017-05-08 17:26:05","","","","","","","Tony Briffa, première personne intersexe à avoir été élue maire","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\ZFMFCJN8\tony-briffa-premiere-personne-intersexe-a-avoir-ete-elue-maire-je-suis-a-la-fois-un-homme-et-un.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAP4QICZ","blogPost","","","De l’urgence d’une inversion de la question intersexe en France ou le cadavre exquis de Madame Rossignol, par Vincent Guillot","","","","","http://yagg.com/?post_type=post&p=101834","Pour Vincent Guillot, membre fondateur de l'Organisation internationale intersexe (OII), les récentes déclarations de la ministre Laurence Rossignol sur les mutilations sexuelles vont dans la mauvaise direction.","","2017-05-08 17:28:46","2017-05-08 17:28:46","2017-05-08 17:28:46","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\TCIR82HZ\de-lurgence-dune-inversion-de-la-question-intersexe-en-france-ou-le-cadavre-exquis-de-madame-ro.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
